https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume ADA,Volume USDT,tradecount
1672182000000,2022-12-27 23:00:00,ADAUSDT,0.2602,0.2608,0.2597,0.2603,2890309.5,752445.27158,1283
1672178400000,2022-12-27 22:00:00,ADAUSDT,0.2592,0.2605,0.259,0.2602,1989432.9,516817.93845,962
1672174800000,2022-12-27 21:00:00,ADAUSDT,0.2593,0.2595,0.2587,0.2591,1568856.7,406543.37639,876
1672171200000,2022-12-27 20:00:00,ADAUSDT,0.259,0.26,0.2587,0.2592,2407190.8,624498.71189,1323
1672167600000,2022-12-27 19:00:00,ADAUSDT,0.2578,0.2591,0.2573,0.259,2325680.6,600535.87046,1346
1672164000000,2022-12-27 18:00:00,ADAUSDT,0.2572,0.2583,0.2568,0.2579,1985185.5,511416.30318,1358
1672160400000,2022-12-27 17:00:00,ADAUSDT,0.2593,0.2596,0.2563,0.2573,6163695.8,1589429.59374,3497
1672156800000,2022-12-27 16:00:00,ADAUSDT,0.2605,0.2607,0.2588,0.2593,3620765.5,940275.85078,2090
1672153200000,2022-12-27 15:00:00,ADAUSDT,0.2601,0.2617,0.2593,0.2605,3798101.7,990489.05977,2138
1672149600000,2022-12-27 14:00:00,ADAUSDT,0.2617,0.2624,0.2592,0.2602,5006967.5,1304929.6216,3193
1672146000000,2022-12-27 13:00:00,ADAUSDT,0.2615,0.2623,0.2611,0.2617,1873191.1,490248.01507,1147
1672142400000,2022-12-27 12:00:00,ADAUSDT,0.2627,0.263,0.2612,0.2615,2391555.6,627088.9105,1503
1672138800000,2022-12-27 11:00:00,ADAUSDT,0.2642,0.2644,0.2625,0.2628,2609289.9,687449.42732,1518
1672135200000,2022-12-27 10:00:00,ADAUSDT,0.2646,0.2651,0.2639,0.2643,2038074.1,539191.77562,1372
1672131600000,2022-12-27 09:00:00,ADAUSDT,0.2625,0.265,0.2617,0.2645,2402809.0,632794.69877,1833
1672128000000,2022-12-27 08:00:00,ADAUSDT,0.2638,0.2639,0.2624,0.2625,2725058.4,717239.03278,1708
1672124400000,2022-12-27 07:00:00,ADAUSDT,0.264,0.2642,0.2635,0.2638,1383573.8,365141.59796,936
1672120800000,2022-12-27 06:00:00,ADAUSDT,0.2633,0.2641,0.263,0.264,654439.3,172441.12638,684
1672117200000,2022-12-27 05:00:00,ADAUSDT,0.2633,0.2637,0.2627,0.2632,2037954.5,536611.47441,1090
1672113600000,2022-12-27 04:00:00,ADAUSDT,0.2639,0.2641,0.263,0.2633,1900773.2,500674.11736,1054
1672110000000,2022-12-27 03:00:00,ADAUSDT,0.2646,0.2646,0.2636,0.2638,1667941.6,440310.26308,938
1672106400000,2022-12-27 02:00:00,ADAUSDT,0.2642,0.2648,0.264,0.2645,1013219.9,267921.8909,740
1672102800000,2022-12-27 01:00:00,ADAUSDT,0.264,0.2647,0.2638,0.2642,1450808.0,383308.38558,1046
1672099200000,2022-12-27 00:00:00,ADAUSDT,0.2653,0.2665,0.2634,0.2641,3653049.8,966804.94552,2436
1672095600000,2022-12-26 23:00:00,ADAUSDT,0.2632,0.2657,0.2632,0.2652,2621416.6,693695.48836,1855
1672092000000,2022-12-26 22:00:00,ADAUSDT,0.2626,0.2639,0.2625,0.2632,1448432.5,381456.10521,1350
1672088400000,2022-12-26 21:00:00,ADAUSDT,0.2629,0.2647,0.2625,0.2627,4714602.9,1243238.72078,3235
1672084800000,2022-12-26 20:00:00,ADAUSDT,0.2627,0.263,0.2623,0.2629,1088178.8,285879.6634,908
1672081200000,2022-12-26 19:00:00,ADAUSDT,0.2617,0.2636,0.2616,0.2625,3096872.2,813809.78578,1670
1672077600000,2022-12-26 18:00:00,ADAUSDT,0.2615,0.2621,0.2612,0.2617,1609482.0,421021.39617,1071
1672074000000,2022-12-26 17:00:00,ADAUSDT,0.2612,0.2618,0.2607,0.2614,1433006.1,374367.61829,1006
1672070400000,2022-12-26 16:00:00,ADAUSDT,0.2612,0.262,0.2607,0.2612,2428185.6,634652.62754,1403
1672066800000,2022-12-26 15:00:00,ADAUSDT,0.2618,0.262,0.2608,0.2612,1707779.2,446260.64225,1235
