https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume EOS,Volume USDT,tradecount
1672182000000,2022-12-27 23:00:00,EOSUSDT,0.892,0.897,0.892,0.896,141123.6,126230.4153,495
1672178400000,2022-12-27 22:00:00,EOSUSDT,0.888,0.893,0.888,0.893,87831.8,78162.4264,302
1672174800000,2022-12-27 21:00:00,EOSUSDT,0.888,0.89,0.888,0.889,94602.3,84057.0914,264
1672171200000,2022-12-27 20:00:00,EOSUSDT,0.886,0.888,0.886,0.888,48131.2,42685.5708,222
1672167600000,2022-12-27 19:00:00,EOSUSDT,0.888,0.889,0.882,0.886,255548.0,226048.2268,1755
1672164000000,2022-12-27 18:00:00,EOSUSDT,0.888,0.891,0.887,0.888,88717.5,78873.2826,539
1672160400000,2022-12-27 17:00:00,EOSUSDT,0.89,0.897,0.884,0.889,1130652.9,1008547.9751,1745
1672156800000,2022-12-27 16:00:00,EOSUSDT,0.891,0.896,0.89,0.89,232116.3,207219.1038,521
1672153200000,2022-12-27 15:00:00,EOSUSDT,0.886,0.896,0.885,0.891,392644.6,350363.504,1049
1672149600000,2022-12-27 14:00:00,EOSUSDT,0.892,0.896,0.885,0.887,511501.1,454509.0217,1580
1672146000000,2022-12-27 13:00:00,EOSUSDT,0.893,0.897,0.891,0.892,137968.4,123304.09,531
1672142400000,2022-12-27 12:00:00,EOSUSDT,0.895,0.898,0.893,0.894,152313.4,136386.1856,1180
1672138800000,2022-12-27 11:00:00,EOSUSDT,0.9,0.9,0.893,0.895,181539.3,162563.0632,843
1672135200000,2022-12-27 10:00:00,EOSUSDT,0.892,0.906,0.892,0.9,1012462.5,910476.9865,2130
1672131600000,2022-12-27 09:00:00,EOSUSDT,0.886,0.895,0.885,0.893,226333.4,201336.0969,540
1672128000000,2022-12-27 08:00:00,EOSUSDT,0.89,0.891,0.887,0.887,220377.9,195915.1257,466
1672124400000,2022-12-27 07:00:00,EOSUSDT,0.887,0.891,0.885,0.891,103379.4,91739.0133,506
1672120800000,2022-12-27 06:00:00,EOSUSDT,0.886,0.887,0.884,0.886,84386.0,74704.2444,212
1672117200000,2022-12-27 05:00:00,EOSUSDT,0.885,0.887,0.883,0.886,64413.3,57006.5011,183
1672113600000,2022-12-27 04:00:00,EOSUSDT,0.882,0.884,0.881,0.884,51483.7,45443.3519,170
1672110000000,2022-12-27 03:00:00,EOSUSDT,0.885,0.886,0.881,0.882,93348.3,82412.7431,625
1672106400000,2022-12-27 02:00:00,EOSUSDT,0.888,0.89,0.884,0.885,176895.7,156836.338,485
1672102800000,2022-12-27 01:00:00,EOSUSDT,0.883,0.888,0.883,0.887,177227.2,156976.4613,802
1672099200000,2022-12-27 00:00:00,EOSUSDT,0.888,0.89,0.88,0.883,175589.2,155349.2416,661
1672095600000,2022-12-26 23:00:00,EOSUSDT,0.881,0.89,0.881,0.888,199220.3,176326.8176,704
1672092000000,2022-12-26 22:00:00,EOSUSDT,0.879,0.882,0.878,0.881,117236.7,103137.7367,352
1672088400000,2022-12-26 21:00:00,EOSUSDT,0.88,0.88,0.877,0.878,135324.7,118947.4759,351
1672084800000,2022-12-26 20:00:00,EOSUSDT,0.879,0.881,0.879,0.88,56470.8,49687.4739,178
1672081200000,2022-12-26 19:00:00,EOSUSDT,0.879,0.882,0.879,0.88,63120.7,55581.2223,296
1672077600000,2022-12-26 18:00:00,EOSUSDT,0.878,0.881,0.877,0.879,72181.5,63466.5324,227
1672074000000,2022-12-26 17:00:00,EOSUSDT,0.878,0.879,0.876,0.879,46325.0,40653.7063,207
1672070400000,2022-12-26 16:00:00,EOSUSDT,0.875,0.878,0.874,0.878,116756.6,102300.1087,282
1672066800000,2022-12-26 15:00:00,EOSUSDT,0.878,0.88,0.874,0.876,125874.8,110470.4769,380
1672063200000,2022-12-26 14:00:00,EOSUSDT,0.874,0.879,0.874,0.879,114367.8,100303.4318,319
