https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume ETC,Volume USDT,tradecount
1672182000000,2022-12-27 23:00:00,ETCUSDT,15.76,15.87,15.76,15.87,11052.96,174867.3533,675
1672178400000,2022-12-27 22:00:00,ETCUSDT,15.71,15.77,15.71,15.76,8709.98,137096.106,440
1672174800000,2022-12-27 21:00:00,ETCUSDT,15.7,15.75,15.69,15.72,7475.22,117574.4651,416
1672171200000,2022-12-27 20:00:00,ETCUSDT,15.7,15.78,15.68,15.7,17323.72,272478.6809,882
1672167600000,2022-12-27 19:00:00,ETCUSDT,15.68,15.7,15.6,15.7,11983.99,187581.3963,765
1672164000000,2022-12-27 18:00:00,ETCUSDT,15.69,15.74,15.67,15.68,12109.83,190202.7902,723
1672160400000,2022-12-27 17:00:00,ETCUSDT,15.87,15.9,15.57,15.69,41138.12,647274.1687,2151
1672156800000,2022-12-27 16:00:00,ETCUSDT,15.9,15.93,15.86,15.88,13330.07,211841.1613,740
1672153200000,2022-12-27 15:00:00,ETCUSDT,15.85,15.98,15.8,15.9,25387.38,404374.5581,1097
1672149600000,2022-12-27 14:00:00,ETCUSDT,15.99,16.06,15.72,15.87,43595.66,691808.9575,2301
1672146000000,2022-12-27 13:00:00,ETCUSDT,16.02,16.06,15.97,16.0,12906.94,206484.0647,665
1672142400000,2022-12-27 12:00:00,ETCUSDT,16.06,16.08,15.99,16.02,17032.9,273151.5305,769
1672138800000,2022-12-27 11:00:00,ETCUSDT,16.1,16.12,16.01,16.07,11046.87,177511.7611,654
1672135200000,2022-12-27 10:00:00,ETCUSDT,16.12,16.16,16.08,16.1,11360.39,183194.2374,655
1672131600000,2022-12-27 09:00:00,ETCUSDT,16.03,16.15,15.97,16.12,21891.28,351384.0914,1201
1672128000000,2022-12-27 08:00:00,ETCUSDT,16.12,16.13,16.03,16.03,13116.75,210995.8119,797
1672124400000,2022-12-27 07:00:00,ETCUSDT,16.16,16.17,16.11,16.13,6500.51,104892.6338,424
1672120800000,2022-12-27 06:00:00,ETCUSDT,16.12,16.18,16.09,16.16,5912.05,95393.0087,570
1672117200000,2022-12-27 05:00:00,ETCUSDT,16.15,16.16,16.11,16.11,5766.24,93025.3232,410
1672113600000,2022-12-27 04:00:00,ETCUSDT,16.12,16.15,16.1,16.15,8716.9,140518.9262,566
1672110000000,2022-12-27 03:00:00,ETCUSDT,16.17,16.18,16.1,16.12,4865.22,78418.8381,410
1672106400000,2022-12-27 02:00:00,ETCUSDT,16.13,16.18,16.13,16.17,9248.67,149475.1128,474
1672102800000,2022-12-27 01:00:00,ETCUSDT,16.17,16.19,16.12,16.13,5982.62,96680.3936,406
1672099200000,2022-12-27 00:00:00,ETCUSDT,16.26,16.33,16.1,16.16,23023.92,373644.5413,1374
1672095600000,2022-12-26 23:00:00,ETCUSDT,16.11,16.28,16.06,16.25,36250.68,584788.7069,1619
1672092000000,2022-12-26 22:00:00,ETCUSDT,16.12,16.14,16.1,16.11,5729.43,92385.7019,413
1672088400000,2022-12-26 21:00:00,ETCUSDT,16.15,16.19,16.12,16.12,5371.27,86772.824,393
1672084800000,2022-12-26 20:00:00,ETCUSDT,16.16,16.2,16.14,16.15,4530.63,73242.7115,359
1672081200000,2022-12-26 19:00:00,ETCUSDT,16.09,16.2,16.08,16.16,5253.98,84865.3405,458
1672077600000,2022-12-26 18:00:00,ETCUSDT,16.13,16.15,16.08,16.09,14990.63,241456.5498,548
1672074000000,2022-12-26 17:00:00,ETCUSDT,16.12,16.16,16.07,16.13,14091.06,227156.313,836
1672070400000,2022-12-26 16:00:00,ETCUSDT,16.06,16.14,16.05,16.12,5829.05,93846.5817,542
1672066800000,2022-12-26 15:00:00,ETCUSDT,16.14,16.15,16.04,16.07,9339.56,150314.7302,714
1672063200000,2022-12-26 14:00:00,ETCUSDT,16.1,16.15,16.08,16.14,5761.78,92863.0417,547
1672059600000,2022-12-26 13:00:00,ETCUSDT,16.15,16.15,16.08,16.1,11749.27,189365.2558,1004
1672056000000,2022-12-26 12:00:00,ETCUSDT,16.19,16.2,16.14,16.15,5496.33,88842.6764,438
1672052400000,2022-12-26 11:00:00,ETCUSDT,16.17,16.22,16.16,16.18,13693.71,221732.2171,847
1672048800000,2022-12-26 10:00:00,ETCUSDT,16.09,16.21,16.09,16.17,21560.81,348537.334,1093
1672045200000,2022-12-26 09:00:00,ETCUSDT,16.06,16.15,16.05,16.09,12555.26,202233.8586,790
1672041600000,2022-12-26 08:00:00,ETCUSDT,16.08,16.09,16.02,16.06,13855.95,222413.928,826
1672038000000,2022-12-26 07:00:00,ETCUSDT,16.05,16.09,16.01,16.08,34409.99,552881.1257,1788
1672034400000,2022-12-26 06:00:00,ETCUSDT,16.13,16.15,16.03,16.05,18365.72,295698.3534,1179
1672030800000,2022-12-26 05:00:00,ETCUSDT,16.2,16.21,16.13,16.13,9592.1,155112.8838,646
1672027200000,2022-12-26 04:00:00,ETCUSDT,16.28,16.29,16.19,16.19,5952.29,96530.5573,510
1672023600000,2022-12-26 03:00:00,ETCUSDT,16.28,16.31,16.22,16.27,11939.26,194233.3619,761
1672020000000,2022-12-26 02:00:00,ETCUSDT,16.22,16.29,16.21,16.29,12043.81,195697.9281,757
1672016400000,2022-12-26 01:00:00,ETCUSDT,16.14,16.23,16.14,16.23,19797.46,320360.9676,1064
1672012800000,2022-12-26 00:00:00,ETCUSDT,16.2,16.2,16.12,16.14,25432.48,410815.5895,934
1672009200000,2022-12-25 23:00:00,ETCUSDT,16.11,16.22,16.09,16.2,19804.66,320048.9014,788
1672005600000,2022-12-25 22:00:00,ETCUSDT,16.13,16.2,16.08,16.1,30226.0,487350.2108,1326
1672002000000,2022-12-25 21:00:00,ETCUSDT,15.98,16.18,15.97,16.13,30301.3,486275.8381,1269
1671998400000,2022-12-25 20:00:00,ETCUSDT,16.01,16.02,15.95,15.97,8099.15,129430.0164,411
1671994800000,2022-12-25 19:00:00,ETCUSDT,15.95,16.01,15.85,16.01,27092.6,431368.4184,1390
1671991200000,2022-12-25 18:00:00,ETCUSDT,15.9,15.97,15.87,15.95,10875.15,173116.9264,678
1671987600000,2022-12-25 17:00:00,ETCUSDT,16.0,16.01,15.91,15.91,8145.82,129989.7434,815
1671984000000,2022-12-25 16:00:00,ETCUSDT,16.05,16.05,15.92,16.0,20141.92,321726.2126,1026
1671980400000,2022-12-25 15:00:00,ETCUSDT,16.13,16.18,16.04,16.05,21904.54,352989.0924,1242
1671976800000,2022-12-25 14:00:00,ETCUSDT,16.22,16.22,15.94,16.13,75649.52,1214986.3619,4118
1671973200000,2022-12-25 13:00:00,ETCUSDT,16.26,16.27,16.19,16.22,10022.47,162519.0443,810
1671969600000,2022-12-25 12:00:00,ETCUSDT,16.26,16.28,16.22,16.26,8091.48,131440.8443,565
1671966000000,2022-12-25 11:00:00,ETCUSDT,16.29,16.29,16.19,16.26,16162.69,262561.8739,1078
1671962400000,2022-12-25 10:00:00,ETCUSDT,16.33,16.33,16.28,16.3,7098.66,115735.9297,299
1671958800000,2022-12-25 09:00:00,ETCUSDT,16.3,16.34,16.3,16.33,7541.36,123077.6633,508
1671955200000,2022-12-25 08:00:00,ETCUSDT,16.28,16.31,16.28,16.3,3074.73,50093.0029,226
1671951600000,2022-12-25 07:00:00,ETCUSDT,16.28,16.33,16.27,16.29,5781.08,94218.2067,495
1671948000000,2022-12-25 06:00:00,ETCUSDT,16.34,16.36,16.24,16.28,18857.84,307238.0428,860
